Chunk Size,Run Time,PCY
0.01,274.72472190856934,30.222177505493164
0.05,849.12109375,135.30778884887695
0.1,2179.8529624938965,255.3861141204834
0.2,5413.72275352478,582.9670429229736
0.3,8484.473943710327,932.4378967285156
0.4,12322.894096374512,1362.9710674285889
0.5,16396.841049194336,1811.3887310028076
0.6,18746.361017227173,1999.7670650482178
0.7,23114.52388763428,2289.6766662597656
0.8,28005.91778755188,2615.6249046325684
0.9,29847.98002243042,2963.634967803955
1.0,33036.49711608887,3314.3701553344727
